# WISIPAY PERFORMANCE METRICS LOG (SAMPLE / DUMMY DATA — FOR ASSESSMENT USE ONLY)
# This file captures system-level performance data for each transaction attempt
# processed by the WisiPay backend. One row per provider call attempt.
#
# Format per line:
#   REQ_TIMESTAMP | TXN_ID=... | ENDPOINT=... | HTTP_STATUS=... | LATENCY_MS=... | RETRY_COUNT=... | QUEUE_WAIT_MS=... | RESP_TIMESTAMP=...
#
# Fields:
#   REQ_TIMESTAMP   — Timestamp when WisiPay sent the request to the provider
#   TXN_ID          — Matches the TXN_ID in transactions.log
#   ENDPOINT        — Internal WisiPay routing endpoint used for this attempt
#   HTTP_STATUS     — HTTP status code returned to the WisiPay backend
#   LATENCY_MS      — Provider round-trip latency in milliseconds
#   RETRY_COUNT     — Attempt number (0 = first attempt, 1 = first retry, etc.)
#   QUEUE_WAIT_MS   — Time the request spent in WisiPay's internal queue before dispatch
#   RESP_TIMESTAMP  — Timestamp when WisiPay received the provider response
#
# ENDPOINT REFERENCE:
#   /api/v2/payment/upi       — NPCI UPI rail
#   /api/v2/payment/pg/razorpay  — Razorpay gateway
#   /api/v2/payment/pg/payu      — PayU gateway
#   /api/v2/payment/pg/hdfc      — HDFC PG
#   /api/v2/payment/pg/axis      — Axis Bank PG
#   /api/v2/payment/pg/icici     — ICICI Bank PG
#   /api/v2/payment/pg/kotak     — Kotak Mahindra PG

# ─── 2026-05-01 ──────────────────────────────────────────────────────────────
2026-05-01T09:12:03Z | TXN_ID=TXN10001 | ENDPOINT=/api/v2/payment/upi          | HTTP_STATUS=200 | LATENCY_MS=312  | RETRY_COUNT=0 | QUEUE_WAIT_MS=18  | RESP_TIMESTAMP=2026-05-01T09:12:04Z
2026-05-01T09:14:51Z | TXN_ID=TXN10002 | ENDPOINT=/api/v2/payment/pg/razorpay  | HTTP_STATUS=500 | LATENCY_MS=1840 | RETRY_COUNT=0 | QUEUE_WAIT_MS=22  | RESP_TIMESTAMP=2026-05-01T09:14:53Z
2026-05-01T09:20:10Z | TXN_ID=TXN10003 | ENDPOINT=/api/v2/payment/upi          | HTTP_STATUS=200 | LATENCY_MS=278  | RETRY_COUNT=0 | QUEUE_WAIT_MS=15  | RESP_TIMESTAMP=2026-05-01T09:20:10Z
2026-05-01T10:02:44Z | TXN_ID=TXN10004 | ENDPOINT=/api/v2/payment/pg/hdfc      | HTTP_STATUS=202 | LATENCY_MS=540  | RETRY_COUNT=0 | QUEUE_WAIT_MS=31  | RESP_TIMESTAMP=2026-05-01T10:02:45Z
2026-05-01T10:05:00Z | TXN_ID=TXN10004 | ENDPOINT=/api/v2/payment/pg/hdfc      | HTTP_STATUS=200 | LATENCY_MS=310  | RETRY_COUNT=0 | QUEUE_WAIT_MS=12  | RESP_TIMESTAMP=2026-05-01T10:05:00Z
2026-05-01T10:18:27Z | TXN_ID=TXN10005 | ENDPOINT=/api/v2/payment/pg/payu      | HTTP_STATUS=400 | LATENCY_MS=195  | RETRY_COUNT=0 | QUEUE_WAIT_MS=10  | RESP_TIMESTAMP=2026-05-01T10:18:27Z
2026-05-01T10:25:09Z | TXN_ID=TXN10006 | ENDPOINT=/api/v2/payment/pg/axis      | HTTP_STATUS=202 | LATENCY_MS=620  | RETRY_COUNT=0 | QUEUE_WAIT_MS=27  | RESP_TIMESTAMP=2026-05-01T10:25:10Z
2026-05-01T10:40:18Z | TXN_ID=TXN10007 | ENDPOINT=/api/v2/payment/pg/icici     | HTTP_STATUS=402 | LATENCY_MS=415  | RETRY_COUNT=0 | QUEUE_WAIT_MS=20  | RESP_TIMESTAMP=2026-05-01T10:40:18Z
2026-05-01T11:02:55Z | TXN_ID=TXN10008 | ENDPOINT=/api/v2/payment/pg/razorpay  | HTTP_STATUS=400 | LATENCY_MS=380  | RETRY_COUNT=0 | QUEUE_WAIT_MS=17  | RESP_TIMESTAMP=2026-05-01T11:02:55Z
2026-05-01T11:15:00Z | TXN_ID=TXN10009 | ENDPOINT=/api/v2/payment/upi          | HTTP_STATUS=200 | LATENCY_MS=265  | RETRY_COUNT=0 | QUEUE_WAIT_MS=14  | RESP_TIMESTAMP=2026-05-01T11:15:00Z
2026-05-01T11:30:42Z | TXN_ID=TXN10010 | ENDPOINT=/api/v2/payment/pg/payu      | HTTP_STATUS=200 | LATENCY_MS=320  | RETRY_COUNT=0 | QUEUE_WAIT_MS=19  | RESP_TIMESTAMP=2026-05-01T11:30:43Z
2026-05-01T11:45:19Z | TXN_ID=TXN10011 | ENDPOINT=/api/v2/payment/pg/hdfc      | HTTP_STATUS=200 | LATENCY_MS=290  | RETRY_COUNT=0 | QUEUE_WAIT_MS=16  | RESP_TIMESTAMP=2026-05-01T11:45:20Z
2026-05-01T12:01:37Z | TXN_ID=TXN10012 | ENDPOINT=/api/v2/payment/pg/axis      | HTTP_STATUS=202 | LATENCY_MS=580  | RETRY_COUNT=0 | QUEUE_WAIT_MS=28  | RESP_TIMESTAMP=2026-05-01T12:01:38Z
2026-05-01T12:10:02Z | TXN_ID=TXN10012 | ENDPOINT=/api/v2/payment/pg/axis      | HTTP_STATUS=402 | LATENCY_MS=410  | RETRY_COUNT=0 | QUEUE_WAIT_MS=13  | RESP_TIMESTAMP=2026-05-01T12:10:02Z
2026-05-01T12:22:48Z | TXN_ID=TXN10013 | ENDPOINT=/api/v2/payment/pg/icici     | HTTP_STATUS=200 | LATENCY_MS=345  | RETRY_COUNT=0 | QUEUE_WAIT_MS=21  | RESP_TIMESTAMP=2026-05-01T12:22:49Z
2026-05-01T12:40:11Z | TXN_ID=TXN10014 | ENDPOINT=/api/v2/payment/pg/razorpay  | HTTP_STATUS=400 | LATENCY_MS=210  | RETRY_COUNT=0 | QUEUE_WAIT_MS=9   | RESP_TIMESTAMP=2026-05-01T12:40:11Z
2026-05-01T13:05:33Z | TXN_ID=txn10015 | ENDPOINT=/api/v2/payment/upi          | HTTP_STATUS=200 | LATENCY_MS=298  | RETRY_COUNT=0 | QUEUE_WAIT_MS=16  | RESP_TIMESTAMP=2026-05-01T13:05:34Z
2026-05-01T13:20:07Z | TXN_ID=TXN10016 | ENDPOINT=/api/v2/payment/pg/kotak     | HTTP_STATUS=202 | LATENCY_MS=670  | RETRY_COUNT=0 | QUEUE_WAIT_MS=35  | RESP_TIMESTAMP=2026-05-01T13:20:08Z
2026-05-01T13:40:59Z | TXN_ID=TXN10017 | ENDPOINT=/api/v2/payment/pg/payu      | HTTP_STATUS=200 | LATENCY_MS=305  | RETRY_COUNT=0 | QUEUE_WAIT_MS=18  | RESP_TIMESTAMP=2026-05-01T13:41:00Z
2026-05-01T13:58:21Z | TXN_ID=TXN10018 | ENDPOINT=/api/v2/payment/pg/hdfc      | HTTP_STATUS=400 | LATENCY_MS=370  | RETRY_COUNT=0 | QUEUE_WAIT_MS=20  | RESP_TIMESTAMP=2026-05-01T13:58:22Z
2026-05-01T14:10:45Z | TXN_ID=TXN10019 | ENDPOINT=/api/v2/payment/pg/axis      | HTTP_STATUS=202 | LATENCY_MS=590  | RETRY_COUNT=0 | QUEUE_WAIT_MS=30  | RESP_TIMESTAMP=2026-05-01T14:10:46Z
2026-05-01T14:35:02Z | TXN_ID=TXN10020 | ENDPOINT=/api/v2/payment/pg/icici     | HTTP_STATUS=200 | LATENCY_MS=315  | RETRY_COUNT=0 | QUEUE_WAIT_MS=17  | RESP_TIMESTAMP=2026-05-01T14:35:03Z

# ─── 2026-05-02 ──────────────────────────────────────────────────────────────
2026-05-02T08:05:11Z | TXN_ID=TXN10021 | ENDPOINT=/api/v2/payment/upi          | HTTP_STATUS=200 | LATENCY_MS=290  | RETRY_COUNT=0 | QUEUE_WAIT_MS=14  | RESP_TIMESTAMP=2026-05-02T08:05:11Z
2026-05-02T08:17:34Z | TXN_ID=TXN10022 | ENDPOINT=/api/v2/payment/pg/razorpay  | HTTP_STATUS=408 | LATENCY_MS=5002 | RETRY_COUNT=0 | QUEUE_WAIT_MS=22  | RESP_TIMESTAMP=2026-05-02T08:17:39Z
2026-05-02T08:19:01Z | TXN_ID=TXN10022 | ENDPOINT=/api/v2/payment/pg/razorpay  | HTTP_STATUS=408 | LATENCY_MS=4988 | RETRY_COUNT=1 | QUEUE_WAIT_MS=8   | RESP_TIMESTAMP=2026-05-02T08:19:06Z
2026-05-02T08:20:45Z | TXN_ID=TXN10022 | ENDPOINT=/api/v2/payment/pg/razorpay  | HTTP_STATUS=200 | LATENCY_MS=812  | RETRY_COUNT=2 | QUEUE_WAIT_MS=6   | RESP_TIMESTAMP=2026-05-02T08:20:46Z
2026-05-02T08:33:09Z | TXN_ID=TXN10023 | ENDPOINT=/api/v2/payment/pg/payu      | HTTP_STATUS=402 | LATENCY_MS=420  | RETRY_COUNT=0 | QUEUE_WAIT_MS=19  | RESP_TIMESTAMP=2026-05-02T08:33:10Z
2026-05-02T08:45:22Z | TXN_ID=TXN10024 | ENDPOINT=/api/v2/payment/pg/kotak     | HTTP_STATUS=202 | LATENCY_MS=550  | RETRY_COUNT=0 | QUEUE_WAIT_MS=26  | RESP_TIMESTAMP=2026-05-02T08:45:23Z
