# WISIPAY PROVIDER RESPONSE LOG (SAMPLE / DUMMY DATA — FOR ASSESSMENT USE ONLY)
# This file contains the raw response received from the payment provider for each
# transaction attempt. Every row in transactions.log that triggers a provider call
# should have a corresponding entry here.
#
# Format per line:
#   TIMESTAMP | TXN_ID=... | PROVIDER=... | PROVIDER_REF=... | RESP_CODE=... | RESP_MSG=... | LATENCY_MS=...
#
# Fields:
#   PROVIDER      — Payment gateway / bank that processed the request
#   PROVIDER_REF  — Provider's own transaction reference number
#   RESP_CODE     — Raw HTTP-style or provider-specific numeric response code
#   RESP_MSG      — Raw message string returned by the provider
#   LATENCY_MS    — Round-trip time in milliseconds between WisiPay and the provider
#
# PROVIDER CODES USED:
#   RAZORPAY   = Razorpay Payment Gateway
#   PAYU       = PayU Money Gateway
#   HDFC_PG    = HDFC Bank Payment Gateway
#   NPCI_UPI   = NPCI UPI Rails (direct)
#   AXIS_PG    = Axis Bank Payment Gateway
#   ICICI_PG   = ICICI Bank Payment Gateway
#   KOTAK_PG   = Kotak Mahindra Bank Payment Gateway
#
# NOTE: RESP_CODE 200 = success, 202 = accepted/pending, 400 = bad request,
#       401 = auth failure, 402 = limit exceeded, 403 = blocked/fraud,
#       408 = timeout, 500 = provider internal error, 502 = bad gateway,
#       503 = service unavailable

# ─── 2026-05-01 ──────────────────────────────────────────────────────────────
2026-05-01T09:12:04Z | TXN_ID=TXN10001 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260501091201 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=312
2026-05-01T09:14:52Z | TXN_ID=TXN10002 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260501091449 | RESP_CODE=500 | RESP_MSG=Internal server error; contact support           | LATENCY_MS=1840
2026-05-01T09:20:11Z | TXN_ID=TXN10003 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260501092009 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=278
2026-05-01T10:02:45Z | TXN_ID=TXN10004 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260501100242 | RESP_CODE=202 | RESP_MSG=Request accepted; awaiting bank confirmation   | LATENCY_MS=540
2026-05-01T10:05:01Z | TXN_ID=TXN10004 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260501100242 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=310
2026-05-01T10:18:28Z | TXN_ID=TXN10005 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260501101826 | RESP_CODE=400 | RESP_MSG=Missing or invalid beneficiary account number  | LATENCY_MS=195
2026-05-01T10:25:10Z | TXN_ID=TXN10006 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260501102508 | RESP_CODE=202 | RESP_MSG=Pending - awaiting bank confirmation           | LATENCY_MS=620
2026-05-01T10:40:19Z | TXN_ID=TXN10007 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050110401 | RESP_CODE=402 | RESP_MSG=Insufficient funds in source account           | LATENCY_MS=415
2026-05-01T11:02:56Z | TXN_ID=TXN10008 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260501110254 | RESP_CODE=400 | RESP_MSG=Beneficiary account not found or closed        | LATENCY_MS=380
2026-05-01T11:15:01Z | TXN_ID=TXN10009 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260501111459 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=265
2026-05-01T11:30:43Z | TXN_ID=TXN10010 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260501113040 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=320
